threshold,class_metrics,target_metrics
21,"{'f1_weighted': 0.7198940128859657, 'roc_auc': np.float64(0.6876498067535143), 'mcc': np.float64(0.3790206418977586), 'precision': 0.6913892818089706, 'recall': 0.6876498067535144}","{'target_f1_micro': 0.5317164179104478, 'target_f1_macro': 0.03756714604339532, 'target_f1_weighted': 0.5254704218546863, 'target_mcc': np.float64(0.1678087029070317), 'precision': 0.041614791940774686, 'recall': 0.040803826448905935, 'identification_rate': np.float64(0.054003724394785846)}"
22,"{'f1_weighted': 0.7198940128859657, 'roc_auc': np.float64(0.6876498067535143), 'mcc': np.float64(0.3790206418977586), 'precision': 0.6913892818089706, 'recall': 0.6876498067535144}","{'target_f1_micro': 0.5305970149253731, 'target_f1_macro': 0.028488550635711336, 'target_f1_weighted': 0.5247559483582467, 'target_mcc': np.float64(0.16581786928762282), 'precision': 0.02859108245698116, 'recall': 0.03122087600917799, 'identification_rate': np.float64(0.048417132216014895)}"
23,"{'f1_weighted': 0.719495946035632, 'roc_auc': np.float64(0.688814449562575), 'mcc': np.float64(0.3793962619351194), 'precision': 0.6905859481408996, 'recall': 0.688814449562575}","{'target_f1_micro': 0.5291044776119403, 'target_f1_macro': 0.03810272734367907, 'target_f1_weighted': 0.525560667707493, 'target_mcc': np.float64(0.16992783077787588), 'precision': 0.036872897540897384, 'recall': 0.04252328305102052, 'identification_rate': np.float64(0.060550458715596334)}"
24,"{'f1_weighted': 0.719495946035632, 'roc_auc': np.float64(0.688814449562575), 'mcc': np.float64(0.3793962619351194), 'precision': 0.6905859481408996, 'recall': 0.688814449562575}","{'target_f1_micro': 0.5242537313432836, 'target_f1_macro': 0.02248678377010872, 'target_f1_weighted': 0.5212334556319408, 'target_mcc': np.float64(0.1613728756107571), 'precision': 0.0219681346910881, 'recall': 0.024946942897040626, 'identification_rate': np.float64(0.03669724770642202)}"
25,"{'f1_weighted': 0.718922895165769, 'roc_auc': np.float64(0.6894737683341337), 'mcc': np.float64(0.37923615131537636), 'precision': 0.6897624928888243, 'recall': 0.6894737683341334}","{'target_f1_micro': 0.5242537313432836, 'target_f1_macro': 0.03288448159276434, 'target_f1_weighted': 0.5229652441786387, 'target_mcc': np.float64(0.16670533233918425), 'precision': 0.03198516524593976, 'recall': 0.03654520695482869, 'identification_rate': np.float64(0.05263157894736842)}"
26,"{'f1_weighted': 0.718922895165769, 'roc_auc': np.float64(0.6894737683341337), 'mcc': np.float64(0.37923615131537636), 'precision': 0.6897624928888243, 'recall': 0.6894737683341334}","{'target_f1_micro': 0.5253731343283582, 'target_f1_macro': 0.03402735656812288, 'target_f1_weighted': 0.5245587204193018, 'target_mcc': np.float64(0.1686668356027302), 'precision': 0.03411424335246147, 'recall': 0.036431105648957206, 'identification_rate': np.float64(0.05807622504537205)}"
27,"{'f1_weighted': 0.7162933065059358, 'roc_auc': np.float64(0.6874420214436899), 'mcc': np.float64(0.3742283805620876), 'precision': 0.6867869324864737, 'recall': 0.6874420214436898}","{'target_f1_micro': 0.5182835820895523, 'target_f1_macro': 0.027562425271108842, 'target_f1_weighted': 0.5189374079559131, 'target_mcc': np.float64(0.15981901844247198), 'precision': 0.028098663535348713, 'recall': 0.028900322172052878, 'identification_rate': np.float64(0.03985507246376811)}"
28,"{'f1_weighted': 0.7162933065059358, 'roc_auc': np.float64(0.6874420214436899), 'mcc': np.float64(0.3742283805620876), 'precision': 0.6867869324864737, 'recall': 0.6874420214436898}","{'target_f1_micro': 0.5231343283582089, 'target_f1_macro': 0.03806206452074808, 'target_f1_weighted': 0.5234303517865435, 'target_mcc': np.float64(0.16828296913492286), 'precision': 0.037654834181744916, 'recall': 0.041435293670533696, 'identification_rate': np.float64(0.06340579710144928)}"
29,"{'f1_weighted': 0.7135945584501904, 'roc_auc': np.float64(0.6861353715146014), 'mcc': np.float64(0.36992493029964807), 'precision': 0.683796949692693, 'recall': 0.6861353715146012}","{'target_f1_micro': 0.5130597014925373, 'target_f1_macro': 0.026353948548286977, 'target_f1_weighted': 0.5167728778052644, 'target_mcc': np.float64(0.15750057179081783), 'precision': 0.02716492683336423, 'recall': 0.027265384836923375, 'identification_rate': np.float64(0.03949730700179533)}"
30,"{'f1_weighted': 0.7135945584501904, 'roc_auc': np.float64(0.6861353715146014), 'mcc': np.float64(0.36992493029964807), 'precision': 0.683796949692693, 'recall': 0.6861353715146012}","{'target_f1_micro': 0.5149253731343284, 'target_f1_macro': 0.029752246745562375, 'target_f1_weighted': 0.5179797555179089, 'target_mcc': np.float64(0.1607304083973316), 'precision': 0.028738089990174003, 'recall': 0.032819896496659735, 'identification_rate': np.float64(0.04847396768402154)}"
31,"{'f1_weighted': 0.7093886452459707, 'roc_auc': np.float64(0.683181193093413), 'mcc': np.float64(0.3624873182141802), 'precision': 0.6793266186981086, 'recall': 0.6831811930934131}","{'target_f1_micro': 0.5074626865671642, 'target_f1_macro': 0.026008775489829647, 'target_f1_weighted': 0.5134332191213858, 'target_mcc': np.float64(0.15459232322856029), 'precision': 0.02541304522546474, 'recall': 0.028598925534755903, 'identification_rate': np.float64(0.04107142857142857)}"
32,"{'f1_weighted': 0.7093886452459707, 'roc_auc': np.float64(0.683181193093413), 'mcc': np.float64(0.3624873182141802), 'precision': 0.6793266186981086, 'recall': 0.6831811930934131}","{'target_f1_micro': 0.5111940298507462, 'target_f1_macro': 0.0370975045056226, 'target_f1_weighted': 0.5165917863498237, 'target_mcc': np.float64(0.16100267470467147), 'precision': 0.03500190088267014, 'recall': 0.042170673403864024, 'identification_rate': np.float64(0.05892857142857143)}"
33,"{'f1_weighted': 0.7087475328703364, 'roc_auc': np.float64(0.6838405118649715), 'mcc': np.float64(0.3626203699610764), 'precision': 0.6788146847731911, 'recall': 0.6838405118649715}","{'target_f1_micro': 0.5055970149253731, 'target_f1_macro': 0.030197059653606553, 'target_f1_weighted': 0.513126439221626, 'target_mcc': np.float64(0.1567070809889411), 'precision': 0.03320150571689466, 'recall': 0.03433170802442266, 'identification_rate': np.float64(0.04770318021201413)}"
34,"{'f1_weighted': 0.7087475328703364, 'roc_auc': np.float64(0.6838405118649715), 'mcc': np.float64(0.3626203699610764), 'precision': 0.6788146847731911, 'recall': 0.6838405118649715}","{'target_f1_micro': 0.5055970149253731, 'target_f1_macro': 0.032159030129144305, 'target_f1_weighted': 0.5138132783763022, 'target_mcc': np.float64(0.1567070809889411), 'precision': 0.03204601783004032, 'recall': 0.03408664787915242, 'identification_rate': np.float64(0.04770318021201413)}"
35,"{'f1_weighted': 0.7058670216662011, 'roc_auc': np.float64(0.6820285378983807), 'mcc': np.float64(0.3579451999387573), 'precision': 0.6759679658454487, 'recall': 0.6820285378983807}","{'target_f1_micro': 0.5029850746268657, 'target_f1_macro': 0.03696689932035752, 'target_f1_weighted': 0.5130151213208278, 'target_mcc': np.float64(0.15753724086507156), 'precision': 0.04113021463315387, 'recall': 0.03978205757468318, 'identification_rate': np.float64(0.056239015817223195)}"
36,"{'f1_weighted': 0.7058670216662011, 'roc_auc': np.float64(0.6820285378983807), 'mcc': np.float64(0.3579451999387573), 'precision': 0.6759679658454487, 'recall': 0.6820285378983807}","{'target_f1_micro': 0.5007462686567165, 'target_f1_macro': 0.03304571538869223, 'target_f1_weighted': 0.5100583119767902, 'target_mcc': np.float64(0.15373578518072767), 'precision': 0.03532020560129253, 'recall': 0.03773546027963868, 'identification_rate': np.float64(0.04569420035149385)}"
37,"{'f1_weighted': 0.7041100346877512, 'roc_auc': np.float64(0.68157854131024), 'mcc': np.float64(0.35595190267867094), 'precision': 0.6744448381762344, 'recall': 0.68157854131024}","{'target_f1_micro': 0.49589552238805973, 'target_f1_macro': 0.026410920390329343, 'target_f1_weighted': 0.5078237960497517, 'target_mcc': np.float64(0.15118228078778437), 'precision': 0.024161404930224763, 'recall': 0.03095549636255746, 'identification_rate': np.float64(0.041811846689895474)}"
38,"{'f1_weighted': 0.7041100346877512, 'roc_auc': np.float64(0.68157854131024), 'mcc': np.float64(0.35595190267867094), 'precision': 0.6744448381762344, 'recall': 0.68157854131024}","{'target_f1_micro': 0.4973880597014925, 'target_f1_macro': 0.02873610317990555, 'target_f1_weighted': 0.5093519060812283, 'target_mcc': np.float64(0.1537012961847607), 'precision': 0.026593648705362665, 'recall': 0.03310809883964842, 'identification_rate': np.float64(0.04878048780487805)}"
39,"{'f1_weighted': 0.7044937545631983, 'roc_auc': np.float64(0.6833471754414977), 'mcc': np.float64(0.35849240957198547), 'precision': 0.6752369615338515, 'recall': 0.6833471754414977}","{'target_f1_micro': 0.4925373134328358, 'target_f1_macro': 0.0256115560723469, 'target_f1_weighted': 0.5069969221181689, 'target_mcc': np.float64(0.15045573701637258), 'precision': 0.02557010725296421, 'recall': 0.02784408492025435, 'identification_rate': np.float64(0.0378657487091222)}"
40,"{'f1_weighted': 0.7044937545631983, 'roc_auc': np.float64(0.6833471754414977), 'mcc': np.float64(0.35849240957198547), 'precision': 0.6752369615338515, 'recall': 0.6833471754414977}","{'target_f1_micro': 0.49589552238805973, 'target_f1_macro': 0.032118111098837075, 'target_f1_weighted': 0.5098247031826625, 'target_mcc': np.float64(0.15609421544255933), 'precision': 0.030220584675571673, 'recall': 0.036621529692629703, 'identification_rate': np.float64(0.05335628227194492)}"
41,"{'f1_weighted': 0.7024548727658146, 'roc_auc': np.float64(0.6831169517772099), 'mcc': np.float64(0.35674390636316294), 'precision': 0.6737499088589136, 'recall': 0.6831169517772099}","{'target_f1_micro': 0.4917910447761194, 'target_f1_macro': 0.03155790739490584, 'target_f1_weighted': 0.5087317268186384, 'target_mcc': np.float64(0.1565396264442403), 'precision': 0.030274186924186923, 'recall': 0.03603391477790446, 'identification_rate': np.float64(0.05782312925170068)}"
42,"{'f1_weighted': 0.7024548727658146, 'roc_auc': np.float64(0.6831169517772099), 'mcc': np.float64(0.35674390636316294), 'precision': 0.6737499088589136, 'recall': 0.6831169517772099}","{'target_f1_micro': 0.49216417910447763, 'target_f1_macro': 0.038144640982367674, 'target_f1_weighted': 0.5089316641697588, 'target_mcc': np.float64(0.15716139452495773), 'precision': 0.04077047634904778, 'recall': 0.042310196041398004, 'identification_rate': np.float64(0.05952380952380952)}"
43,"{'f1_weighted': 0.7009301025312716, 'roc_auc': np.float64(0.6826998442839675), 'mcc': np.float64(0.3551820077206785), 'precision': 0.6726250220722856, 'recall': 0.6826998442839676}","{'target_f1_micro': 0.48656716417910445, 'target_f1_macro': 0.032550590698881214, 'target_f1_weighted': 0.5050408667043627, 'target_mcc': np.float64(0.15239343961013213), 'precision': 0.0360280818569686, 'recall': 0.03603572009409313, 'identification_rate': np.float64(0.048986486486486486)}"
44,"{'f1_weighted': 0.7009301025312716, 'roc_auc': np.float64(0.6826998442839675), 'mcc': np.float64(0.3551820077206785), 'precision': 0.6726250220722856, 'recall': 0.6826998442839676}","{'target_f1_micro': 0.48507462686567165, 'target_f1_macro': 0.02387985076438731, 'target_f1_weighted': 0.5037388923347681, 'target_mcc': np.float64(0.1499177843520196), 'precision': 0.022202337843254653, 'recall': 0.0280310580843617, 'identification_rate': np.float64(0.04222972972972973)}"
45,"{'f1_weighted': 0.6979676240954742, 'roc_auc': np.float64(0.6808878703173766), 'mcc': np.float64(0.3508517805999538), 'precision': 0.6701288369062259, 'recall': 0.6808878703173766}","{'target_f1_micro': 0.48582089552238805, 'target_f1_macro': 0.03442069976539224, 'target_f1_weighted': 0.5059257010308684, 'target_mcc': np.float64(0.1563762697256286), 'precision': 0.032030051005580776, 'recall': 0.0407152946017938, 'identification_rate': np.float64(0.06554621848739496)}"
46,"{'f1_weighted': 0.6979676240954742, 'roc_auc': np.float64(0.6808878703173766), 'mcc': np.float64(0.3508517805999538), 'precision': 0.6701288369062259, 'recall': 0.6808878703173766}","{'target_f1_micro': 0.48059701492537316, 'target_f1_macro': 0.02855112847197141, 'target_f1_weighted': 0.5014707745010994, 'target_mcc': np.float64(0.14775648477797315), 'precision': 0.031912291780678705, 'recall': 0.031728179663591906, 'identification_rate': np.float64(0.04201680672268908)}"
47,"{'f1_weighted': 0.6957244237777089, 'roc_auc': np.float64(0.6798996605968357), 'mcc': np.float64(0.34818243650744907), 'precision': 0.6684703137989081, 'recall': 0.6798996605968357}","{'target_f1_micro': 0.4783582089552239, 'target_f1_macro': 0.030820947589111154, 'target_f1_weighted': 0.5006109158808716, 'target_mcc': np.float64(0.14929836409136638), 'precision': 0.029139120438403568, 'recall': 0.03605964977993961, 'identification_rate': np.float64(0.05008347245409015)}"
48,"{'f1_weighted': 0.6957244237777089, 'roc_auc': np.float64(0.6798996605968357), 'mcc': np.float64(0.34818243650744907), 'precision': 0.6684703137989081, 'recall': 0.6798996605968357}","{'target_f1_micro': 0.4779850746268657, 'target_f1_macro': 0.0293063416854075, 'target_f1_weighted': 0.5001817730916542, 'target_mcc': np.float64(0.14868579515469035), 'precision': 0.026800137179923824, 'recall': 0.035203328990754366, 'identification_rate': np.float64(0.048414023372287146)}"
49,"{'f1_weighted': 0.6928489681207864, 'roc_auc': np.float64(0.6788456726864981), 'mcc': np.float64(0.3451778087332397), 'precision': 0.6665510239248803, 'recall': 0.678845672686498}","{'target_f1_micro': 0.47238805970149256, 'target_f1_macro': 0.030299749364739448, 'target_f1_weighted': 0.49770308284189785, 'target_mcc': np.float64(0.1468128735868245), 'precision': 0.028857060839939143, 'recall': 0.034749898248438126, 'identification_rate': np.float64(0.047933884297520664)}"
50,"{'f1_weighted': 0.6928489681207864, 'roc_auc': np.float64(0.6788456726864981), 'mcc': np.float64(0.3451778087332397), 'precision': 0.6665510239248803, 'recall': 0.678845672686498}","{'target_f1_micro': 0.47201492537313433, 'target_f1_macro': 0.029818292036221276, 'target_f1_weighted': 0.4975104970958044, 'target_mcc': np.float64(0.1462045533289179), 'precision': 0.03276805294680224, 'recall': 0.034097896011443196, 'identification_rate': np.float64(0.04628099173553719)}"
51,"{'f1_weighted': 0.6892418509634687, 'roc_auc': np.float64(0.6772205825488617), 'mcc': np.float64(0.34110168582575046), 'precision': 0.6641321205468471, 'recall': 0.6772205825488617}","{'target_f1_micro': 0.46455223880597013, 'target_f1_macro': 0.025440408310531185, 'target_f1_weighted': 0.4932343134398964, 'target_mcc': np.float64(0.1420558817080962), 'precision': 0.024824229017336337, 'recall': 0.0286445392079085, 'identification_rate': np.float64(0.04091653027823241)}"
52,"{'f1_weighted': 0.6892418509634687, 'roc_auc': np.float64(0.6772205825488617), 'mcc': np.float64(0.34110168582575046), 'precision': 0.6641321205468471, 'recall': 0.6772205825488617}","{'target_f1_micro': 0.4667910447761194, 'target_f1_macro': 0.029168400814784196, 'target_f1_weighted': 0.49509274049998064, 'target_mcc': np.float64(0.1456788768402336), 'precision': 0.032409932877966646, 'recall': 0.03290358373481017, 'identification_rate': np.float64(0.05073649754500818)}"
53,"{'f1_weighted': 0.6866749784365265, 'roc_auc': np.float64(0.6767048077709248), 'mcc': np.float64(0.33931511095755357), 'precision': 0.6628913581590186, 'recall': 0.6767048077709247}","{'target_f1_micro': 0.4619402985074627, 'target_f1_macro': 0.03529685507756271, 'target_f1_weighted': 0.4929837369616663, 'target_mcc': np.float64(0.14545730116682568), 'precision': 0.03349776329200771, 'recall': 0.039684986319764234, 'identification_rate': np.float64(0.05339805825242718)}"
54,"{'f1_weighted': 0.6866749784365265, 'roc_auc': np.float64(0.6767048077709248), 'mcc': np.float64(0.33931511095755357), 'precision': 0.6628913581590186, 'recall': 0.6767048077709247}","{'target_f1_micro': 0.46119402985074626, 'target_f1_macro': 0.0338040358230007, 'target_f1_weighted': 0.4926985027566911, 'target_mcc': np.float64(0.14425793567777448), 'precision': 0.03749236341238423, 'recall': 0.03630584777370022, 'identification_rate': np.float64(0.05016181229773463)}"
55,"{'f1_weighted': 0.678681647112713, 'roc_auc': np.float64(0.670895118213243), 'mcc': np.float64(0.32729161300300974), 'precision': 0.6567040080812134, 'recall': 0.6708951182132431}","{'target_f1_micro': 0.45111940298507464, 'target_f1_macro': 0.03327605934213299, 'target_f1_weighted': 0.48513299192863446, 'target_mcc': np.float64(0.13816040621014555), 'precision': 0.030160653217675356, 'recall': 0.04003483312559582, 'identification_rate': np.float64(0.04830917874396135)}"
56,"{'f1_weighted': 0.678681647112713, 'roc_auc': np.float64(0.670895118213243), 'mcc': np.float64(0.32729161300300974), 'precision': 0.6567040080812134, 'recall': 0.6708951182132431}","{'target_f1_micro': 0.4488805970149254, 'target_f1_macro': 0.025367336105075335, 'target_f1_weighted': 0.48377920131488994, 'target_mcc': np.float64(0.13459383158844201), 'precision': 0.02419693439681368, 'recall': 0.028951680167442855, 'identification_rate': np.float64(0.03864734299516908)}"
57,"{'f1_weighted': 0.6746481947492143, 'roc_auc': np.float64(0.6697424630182107), 'mcc': np.float64(0.3243608433576927), 'precision': 0.6549552699321122, 'recall': 0.6697424630182107}","{'target_f1_micro': 0.44216417910447764, 'target_f1_macro': 0.025809837826605828, 'target_f1_weighted': 0.4804069064225174, 'target_mcc': np.float64(0.13429364650617884), 'precision': 0.024174724043921837, 'recall': 0.030920678596086354, 'identification_rate': np.float64(0.04285714285714286)}"
58,"{'f1_weighted': 0.6746481947492143, 'roc_auc': np.float64(0.6697424630182107), 'mcc': np.float64(0.3243608433576927), 'precision': 0.6549552699321122, 'recall': 0.6697424630182107}","{'target_f1_micro': 0.44216417910447764, 'target_f1_macro': 0.027453012230786805, 'target_f1_weighted': 0.4804174370795798, 'target_mcc': np.float64(0.13429364650617884), 'precision': 0.02591401886002646, 'recall': 0.031671289446487116, 'identification_rate': np.float64(0.04285714285714286)}"
59,"{'f1_weighted': 0.6679914762394881, 'roc_auc': np.float64(0.6658329639713797), 'mcc': np.float64(0.3163320951135228), 'precision': 0.6508535938852614, 'recall': 0.6658329639713798}","{'target_f1_micro': 0.4361940298507463, 'target_f1_macro': 0.036194835746553834, 'target_f1_weighted': 0.47776046752718254, 'target_mcc': np.float64(0.1355596756076116), 'precision': 0.034163933895578556, 'recall': 0.04246461957642082, 'identification_rate': np.float64(0.05660377358490566)}"
60,"{'f1_weighted': 0.6679914762394881, 'roc_auc': np.float64(0.6658329639713797), 'mcc': np.float64(0.3163320951135228), 'precision': 0.6508535938852614, 'recall': 0.6658329639713798}","{'target_f1_micro': 0.43470149253731344, 'target_f1_macro': 0.0316342165257227, 'target_f1_weighted': 0.4764370962080579, 'target_mcc': np.float64(0.13322313879812397), 'precision': 0.029458752161318078, 'recall': 0.037157927729721665, 'identification_rate': np.float64(0.050314465408805034)}"
61,"{'f1_weighted': 0.6583271677416243, 'roc_auc': np.float64(0.6583757459215984), 'mcc': np.float64(0.3017574963689107), 'precision': 0.6437366341748909, 'recall': 0.6583757459215986}","{'target_f1_micro': 0.42201492537313434, 'target_f1_macro': 0.026047218128672688, 'target_f1_weighted': 0.46780221926304977, 'target_mcc': np.float64(0.12339764262241046), 'precision': 0.02549684167504335, 'recall': 0.028723638808913952, 'identification_rate': np.float64(0.04081632653061224)}"
62,"{'f1_weighted': 0.6583271677416243, 'roc_auc': np.float64(0.6583757459215984), 'mcc': np.float64(0.3017574963689107), 'precision': 0.6437366341748909, 'recall': 0.6583757459215986}","{'target_f1_micro': 0.42014925373134326, 'target_f1_macro': 0.020959557864267817, 'target_f1_weighted': 0.46552801440159736, 'target_mcc': np.float64(0.12049975074576144), 'precision': 0.01965134552059453, 'recall': 0.024641700038675947, 'identification_rate': np.float64(0.03296703296703297)}"
63,"{'f1_weighted': 0.6482376774027022, 'roc_auc': np.float64(0.6521489488706744), 'mcc': np.float64(0.2896491746470658), 'precision': 0.6378528162640117, 'recall': 0.6521489488706745}","{'target_f1_micro': 0.4134328358208955, 'target_f1_macro': 0.037861332154938934, 'target_f1_weighted': 0.4618525553299995, 'target_mcc': np.float64(0.12453549433694824), 'precision': 0.03412644756322614, 'recall': 0.04602597008270031, 'identification_rate': np.float64(0.059006211180124224)}"
64,"{'f1_weighted': 0.6482376774027022, 'roc_auc': np.float64(0.6521489488706744), 'mcc': np.float64(0.2896491746470658), 'precision': 0.6378528162640117, 'recall': 0.6521489488706745}","{'target_f1_micro': 0.41082089552238804, 'target_f1_macro': 0.029798930984052376, 'target_f1_weighted': 0.4597218475252745, 'target_mcc': np.float64(0.12052231934586144), 'precision': 0.028723973707389685, 'recall': 0.0367196546711602, 'identification_rate': np.float64(0.04813664596273292)}"
65,"{'f1_weighted': 0.6449367808711688, 'roc_auc': np.float64(0.6518529470165902), 'mcc': np.float64(0.2890791486889549), 'precision': 0.6375784201896343, 'recall': 0.6518529470165902}","{'target_f1_micro': 0.40559701492537314, 'target_f1_macro': 0.0311473976529104, 'target_f1_weighted': 0.45761412895210113, 'target_mcc': np.float64(0.121728165938117), 'precision': 0.02863216639068134, 'recall': 0.037660303491671814, 'identification_rate': np.float64(0.05359877488514548)}"
66,"{'f1_weighted': 0.6449367808711688, 'roc_auc': np.float64(0.6518529470165902), 'mcc': np.float64(0.2890791486889549), 'precision': 0.6375784201896343, 'recall': 0.6518529470165902}","{'target_f1_micro': 0.4048507462686567, 'target_f1_macro': 0.03198599146886422, 'target_f1_weighted': 0.4565172547302246, 'target_mcc': np.float64(0.12058917304054959), 'precision': 0.03058404415744844, 'recall': 0.03873366267724328, 'identification_rate': np.float64(0.05053598774885146)}"
67,"{'f1_weighted': 0.6349723038692136, 'roc_auc': np.float64(0.6449010530043113), 'mcc': np.float64(0.275989586833973), 'precision': 0.6314176992877354, 'recall': 0.6449010530043113}","{'target_f1_micro': 0.3925373134328358, 'target_f1_macro': 0.027332890927439128, 'target_f1_weighted': 0.4470844831039703, 'target_mcc': np.float64(0.11310248524539328), 'precision': 0.0244435048720763, 'recall': 0.035091723301111634, 'identification_rate': np.float64(0.04573170731707317)}"
68,"{'f1_weighted': 0.6349723038692136, 'roc_auc': np.float64(0.6449010530043113), 'mcc': np.float64(0.275989586833973), 'precision': 0.6314176992877354, 'recall': 0.6449010530043113}","{'target_f1_micro': 0.3902985074626866, 'target_f1_macro': 0.02286279622121249, 'target_f1_weighted': 0.445662303337819, 'target_mcc': np.float64(0.1097122443222359), 'precision': 0.02070136571076421, 'recall': 0.02837145943799063, 'identification_rate': np.float64(0.036585365853658534)}"
69,"{'f1_weighted': 0.6243917699637406, 'roc_auc': np.float64(0.6391795799908894), 'mcc': np.float64(0.265555567598813), 'precision': 0.6266704488678294, 'recall': 0.6391795799908895}","{'target_f1_micro': 0.3787313432835821, 'target_f1_macro': 0.03201170915897478, 'target_f1_weighted': 0.43774032200423685, 'target_mcc': np.float64(0.10790460427993434), 'precision': 0.028986295153262884, 'recall': 0.04016033710515303, 'identification_rate': np.float64(0.045112781954887216)}"
70,"{'f1_weighted': 0.6243917699637406, 'roc_auc': np.float64(0.6391795799908894), 'mcc': np.float64(0.265555567598813), 'precision': 0.6266704488678294, 'recall': 0.6391795799908895}","{'target_f1_micro': 0.37723880597014925, 'target_f1_macro': 0.026581110370368356, 'target_f1_weighted': 0.43701648259620035, 'target_mcc': np.float64(0.10566779832508111), 'precision': 0.02488877905652319, 'recall': 0.0322406474901766, 'identification_rate': np.float64(0.039097744360902256)}"
