threshold,class_metrics,target_metrics
19,"{'f1_weighted': 0.8418215658423543, 'roc_auc': np.float64(0.5719252593517907), 'mcc': np.float64(0.13255319383966865), 'precision': 0.5610715531492182, 'recall': 0.5719252593517907}","{'target_f1_micro': 0.15399002493765587, 'target_f1_macro': 0.027992769217593385, 'target_f1_weighted': 0.16398679020916646, 'target_mcc': np.float64(0.05454265358243847), 'precision': 0.03498385688166961, 'recall': 0.0275668389017661, 'identification_rate': np.float64(0.16058394160583941)}"
20,"{'f1_weighted': 0.8418215658423543, 'roc_auc': np.float64(0.5719252593517907), 'mcc': np.float64(0.13255319383966865), 'precision': 0.5610715531492182, 'recall': 0.5719252593517907}","{'target_f1_micro': 0.14713216957605985, 'target_f1_macro': 0.02241633537173361, 'target_f1_weighted': 0.15707559432525783, 'target_mcc': np.float64(0.04677383636319025), 'precision': 0.02658162947159852, 'recall': 0.022191969660203457, 'identification_rate': np.float64(0.15213215520553208)}"
21,"{'f1_weighted': 0.8414581909229609, 'roc_auc': np.float64(0.5652144305982088), 'mcc': np.float64(0.12206287668254821), 'precision': 0.5571167521028245, 'recall': 0.5652144305982088}","{'target_f1_micro': 0.1493142144638404, 'target_f1_macro': 0.02766994984356093, 'target_f1_weighted': 0.1583608088040615, 'target_mcc': np.float64(0.049540576329281695), 'precision': 0.03316028585764849, 'recall': 0.029817393516114364, 'identification_rate': np.float64(0.15626196859440827)}"
22,"{'f1_weighted': 0.8414581909229609, 'roc_auc': np.float64(0.5652144305982088), 'mcc': np.float64(0.12206287668254821), 'precision': 0.5571167521028245, 'recall': 0.5652144305982088}","{'target_f1_micro': 0.14370324189526185, 'target_f1_macro': 0.028191433634818654, 'target_f1_weighted': 0.15232664641022547, 'target_mcc': np.float64(0.04318650892631277), 'precision': 0.03369948100253288, 'recall': 0.029262480227672003, 'identification_rate': np.float64(0.1493680582152432)}"
23,"{'f1_weighted': 0.8438876898412843, 'roc_auc': np.float64(0.5672841097979329), 'mcc': np.float64(0.12782687965376646), 'precision': 0.5607116271995343, 'recall': 0.5672841097979328}","{'target_f1_micro': 0.1477556109725686, 'target_f1_macro': 0.025921703622498224, 'target_f1_weighted': 0.1565658090488622, 'target_mcc': np.float64(0.047441442775295335), 'precision': 0.031116566786228223, 'recall': 0.028433529911601918, 'identification_rate': np.float64(0.15364086923370188)}"
24,"{'f1_weighted': 0.8438876898412843, 'roc_auc': np.float64(0.5672841097979329), 'mcc': np.float64(0.12782687965376646), 'precision': 0.5607116271995343, 'recall': 0.5672841097979328}","{'target_f1_micro': 0.14557356608478803, 'target_f1_macro': 0.025991101053487644, 'target_f1_weighted': 0.15465405123570286, 'target_mcc': np.float64(0.04497014912072358), 'precision': 0.027178987503268755, 'recall': 0.02797605052116146, 'identification_rate': np.float64(0.15097216927182616)}"
25,"{'f1_weighted': 0.8436635868092411, 'roc_auc': np.float64(0.5607457543109944), 'mcc': np.float64(0.11751903891263041), 'precision': 0.5568382295338817, 'recall': 0.5607457543109944}","{'target_f1_micro': 0.1449501246882793, 'target_f1_macro': 0.026311847518331034, 'target_f1_weighted': 0.15463048674464716, 'target_mcc': np.float64(0.04424550481213283), 'precision': 0.030627653113094472, 'recall': 0.02666833694019926, 'identification_rate': np.float64(0.15159574468085107)}"
26,"{'f1_weighted': 0.8436635868092411, 'roc_auc': np.float64(0.5607457543109944), 'mcc': np.float64(0.11751903891263041), 'precision': 0.5568382295338817, 'recall': 0.5607457543109944}","{'target_f1_micro': 0.15149625935162095, 'target_f1_macro': 0.022969759447360922, 'target_f1_weighted': 0.16107065231643217, 'target_mcc': np.float64(0.051658230604039936), 'precision': 0.024673464101174672, 'recall': 0.025015323874612392, 'identification_rate': np.float64(0.1595744680851064)}"
27,"{'f1_weighted': 0.8431893302559584, 'roc_auc': np.float64(0.5540349255574124), 'mcc': np.float64(0.10639820884976307), 'precision': 0.5523762119113573, 'recall': 0.5540349255574124}","{'target_f1_micro': 0.1502493765586035, 'target_f1_macro': 0.031162536753304642, 'target_f1_weighted': 0.1605063125899047, 'target_mcc': np.float64(0.05033868912293453), 'precision': 0.03466896353365011, 'recall': 0.03442078857720302, 'identification_rate': np.float64(0.15946969696969698)}"
28,"{'f1_weighted': 0.8431893302559584, 'roc_auc': np.float64(0.5540349255574124), 'mcc': np.float64(0.10639820884976307), 'precision': 0.5523762119113573, 'recall': 0.5540349255574124}","{'target_f1_micro': 0.15243142144638405, 'target_f1_macro': 0.029376537844098913, 'target_f1_weighted': 0.1631626834317043, 'target_mcc': np.float64(0.052809164645470336), 'precision': 0.03561803942244958, 'recall': 0.030302692304237912, 'identification_rate': np.float64(0.1621212121212121)}"
30,"{'f1_weighted': 0.8435426363461577, 'roc_auc': np.float64(0.5518335192025818), 'mcc': np.float64(0.10322085765216105), 'precision': 0.5513882986258677, 'recall': 0.5518335192025818}","{'target_f1_micro': 0.15056109725685785, 'target_f1_macro': 0.027209053837036007, 'target_f1_weighted': 0.1609997138181221, 'target_mcc': np.float64(0.05079832293250815), 'precision': 0.03369366347768122, 'recall': 0.027458987696361715, 'identification_rate': np.float64(0.1602418745275888)}"
40,"{'f1_weighted': 0.8457634621741922, 'roc_auc': np.float64(0.5426170836724191), 'mcc': np.float64(0.09027231764021527), 'precision': 0.5478041352780895, 'recall': 0.5426170836724191}","{'target_f1_micro': 0.1468204488778055, 'target_f1_macro': 0.025273090949546634, 'target_f1_weighted': 0.15812797286261437, 'target_mcc': np.float64(0.04656099842617896), 'precision': 0.027514981714317866, 'recall': 0.026943524717520193, 'identification_rate': np.float64(0.1572655958162122)}"
50,"{'f1_weighted': 0.8484998500905983, 'roc_auc': np.float64(0.5377375972743642), 'mcc': np.float64(0.08496516113092091), 'precision': 0.5478241801771213, 'recall': 0.5377375972743642}","{'target_f1_micro': 0.13933915211970074, 'target_f1_macro': 0.027171588155965255, 'target_f1_weighted': 0.14862300831888434, 'target_mcc': np.float64(0.038545747589891086), 'precision': 0.028119656164217775, 'recall': 0.03158612986708099, 'identification_rate': np.float64(0.14898336414048058)}"
60,"{'f1_weighted': 0.8466178905458196, 'roc_auc': np.float64(0.5241434665005564), 'mcc': np.float64(0.05721959161862432), 'precision': 0.5339023568231873, 'recall': 0.5241434665005564}","{'target_f1_micro': 0.14245635910224438, 'target_f1_macro': 0.02088231052296779, 'target_f1_weighted': 0.1533880307447987, 'target_mcc': np.float64(0.04217611967509962), 'precision': 0.022204198032014313, 'recall': 0.022687967455507035, 'identification_rate': np.float64(0.15551470588235294)}"
70,"{'f1_weighted': 0.8500881113246986, 'roc_auc': np.float64(0.5226726993238378), 'mcc': np.float64(0.058132952891225234), 'precision': 0.5372633201232937, 'recall': 0.5226726993238379}","{'target_f1_micro': 0.1362219451371571, 'target_f1_macro': 0.025392614675735562, 'target_f1_weighted': 0.1456332119571518, 'target_mcc': np.float64(0.034626580384448526), 'precision': 0.02784839596346609, 'recall': 0.028031966590965515, 'identification_rate': np.float64(0.14805383775918515)}"
80,"{'f1_weighted': 0.8505044549437882, 'roc_auc': np.float64(0.512938843993744), 'mcc': np.float64(0.036995215495818454), 'precision': 0.5264445179616468, 'recall': 0.5129388439937441}","{'target_f1_micro': 0.1396508728179551, 'target_f1_macro': 0.025637519211965044, 'target_f1_weighted': 0.1505410321210569, 'target_mcc': np.float64(0.03847714574038203), 'precision': 0.027347280212928163, 'recall': 0.02839068042735976, 'identification_rate': np.float64(0.1537630536550234)}"
90,"{'f1_weighted': 0.8607551847677455, 'roc_auc': np.float64(0.5194677106601875), 'mcc': np.float64(0.07652139347017889), 'precision': 0.5751953293433829, 'recall': 0.5194677106601875}","{'target_f1_micro': 0.14307980049875313, 'target_f1_macro': 0.027140160088475043, 'target_f1_weighted': 0.15194740182741143, 'target_mcc': np.float64(0.0416854962555622), 'precision': 0.030057775629740713, 'recall': 0.03032392521917801, 'identification_rate': np.float64(0.15511783327470982)}"
100,"{'f1_weighted': 0.85909811481016, 'roc_auc': np.float64(0.5036470560655332), 'mcc': np.float64(0.03860437743294422), 'precision': 0.6021575984990619, 'recall': 0.5036470560655332}","{'target_f1_micro': 0.13933915211970074, 'target_f1_macro': 0.02351245902050103, 'target_f1_weighted': 0.14496724642336006, 'target_mcc': np.float64(0.0374321664468807), 'precision': 0.02740655822797325, 'recall': 0.027242085516778352, 'identification_rate': np.float64(0.15352697095435686)}"
