threshold,class_metrics,target_metrics
17,"{'f1_weighted': 0.8399734617094633, 'roc_auc': np.float64(0.5716461763960567), 'mcc': np.float64(0.13023520640204853), 'precision': 0.559183929414542, 'recall': 0.5716461763960566}","{'target_f1_micro': 0.14650872817955113, 'target_f1_macro': 0.030175390472188847, 'target_f1_weighted': 0.15584439224197255, 'target_mcc': np.float64(0.04637207690523363), 'precision': 0.035700217590942905, 'recall': 0.03225268533719723, 'identification_rate': np.float64(0.15162037037037038)}"
18,"{'f1_weighted': 0.8399734617094633, 'roc_auc': np.float64(0.5716461763960567), 'mcc': np.float64(0.13023520640204853), 'precision': 0.559183929414542, 'recall': 0.5716461763960566}","{'target_f1_micro': 0.1440149625935162, 'target_f1_macro': 0.026749192657539844, 'target_f1_weighted': 0.1517956656420001, 'target_mcc': np.float64(0.043546963893647025), 'precision': 0.029810099836759398, 'recall': 0.029387122531827133, 'identification_rate': np.float64(0.14853395061728394)}"
19,"{'f1_weighted': 0.8418215658423543, 'roc_auc': np.float64(0.5719252593517907), 'mcc': np.float64(0.13255319383966865), 'precision': 0.5610715531492182, 'recall': 0.5719252593517907}","{'target_f1_micro': 0.1552369077306733, 'target_f1_macro': 0.023979521923446302, 'target_f1_weighted': 0.16429192690074837, 'target_mcc': np.float64(0.05590864058227631), 'precision': 0.024747288707198847, 'recall': 0.026724031957905584, 'identification_rate': np.float64(0.16212063004225893)}"
20,"{'f1_weighted': 0.8418215658423543, 'roc_auc': np.float64(0.5719252593517907), 'mcc': np.float64(0.13255319383966865), 'precision': 0.5610715531492182, 'recall': 0.5719252593517907}","{'target_f1_micro': 0.14557356608478803, 'target_f1_macro': 0.023425049413302885, 'target_f1_weighted': 0.15476937155616025, 'target_mcc': np.float64(0.044960671983583736), 'precision': 0.027449727831559988, 'recall': 0.023768536023453017, 'identification_rate': np.float64(0.15021129466000768)}"
21,"{'f1_weighted': 0.8414581909229609, 'roc_auc': np.float64(0.5652144305982088), 'mcc': np.float64(0.12206287668254821), 'precision': 0.5571167521028245, 'recall': 0.5652144305982088}","{'target_f1_micro': 0.14962593516209477, 'target_f1_macro': 0.02836371219880223, 'target_f1_weighted': 0.1583164327712003, 'target_mcc': np.float64(0.04984751036219874), 'precision': 0.030915163525292888, 'recall': 0.03160292038559268, 'identification_rate': np.float64(0.156644963615473)}"
22,"{'f1_weighted': 0.8414581909229609, 'roc_auc': np.float64(0.5652144305982088), 'mcc': np.float64(0.12206287668254821), 'precision': 0.5571167521028245, 'recall': 0.5652144305982088}","{'target_f1_micro': 0.1536783042394015, 'target_f1_macro': 0.026641269861131762, 'target_f1_weighted': 0.16396876347919564, 'target_mcc': np.float64(0.054436977780099996), 'precision': 0.02895810852032859, 'recall': 0.02835230378825367, 'identification_rate': np.float64(0.16162389888931444)}"
23,"{'f1_weighted': 0.8438876898412843, 'roc_auc': np.float64(0.5672841097979329), 'mcc': np.float64(0.12782687965376646), 'precision': 0.5607116271995343, 'recall': 0.5672841097979328}","{'target_f1_micro': 0.15211970074812967, 'target_f1_macro': 0.02725221400003417, 'target_f1_weighted': 0.16186030802807103, 'target_mcc': np.float64(0.05233752177733718), 'precision': 0.028940092623835796, 'recall': 0.02968365668098727, 'identification_rate': np.float64(0.1589782691574533)}"
24,"{'f1_weighted': 0.8438876898412843, 'roc_auc': np.float64(0.5672841097979329), 'mcc': np.float64(0.12782687965376646), 'precision': 0.5607116271995343, 'recall': 0.5672841097979328}","{'target_f1_micro': 0.14993765586034913, 'target_f1_macro': 0.029234664427930726, 'target_f1_weighted': 0.15951508241034187, 'target_mcc': np.float64(0.04986600262406552), 'precision': 0.03497767360014654, 'recall': 0.030734941682044603, 'identification_rate': np.float64(0.1563095691955776)}"
25,"{'f1_weighted': 0.8436635868092411, 'roc_auc': np.float64(0.5607457543109944), 'mcc': np.float64(0.11751903891263041), 'precision': 0.5568382295338817, 'recall': 0.5607457543109944}","{'target_f1_micro': 0.1493142144638404, 'target_f1_macro': 0.026238595023970968, 'target_f1_weighted': 0.15996858062896452, 'target_mcc': np.float64(0.04914008982669283), 'precision': 0.02913708621283891, 'recall': 0.028428757122867316, 'identification_rate': np.float64(0.15691489361702127)}"
26,"{'f1_weighted': 0.8436635868092411, 'roc_auc': np.float64(0.5607457543109944), 'mcc': np.float64(0.11751903891263041), 'precision': 0.5568382295338817, 'recall': 0.5607457543109944}","{'target_f1_micro': 0.1589775561097257, 'target_f1_macro': 0.02804326617988344, 'target_f1_weighted': 0.17004111492998453, 'target_mcc': np.float64(0.06008368352481746), 'precision': 0.0310823499506315, 'recall': 0.03040989008105383, 'identification_rate': np.float64(0.16869300911854104)}"
27,"{'f1_weighted': 0.8431893302559584, 'roc_auc': np.float64(0.5540349255574124), 'mcc': np.float64(0.10639820884976307), 'precision': 0.5523762119113573, 'recall': 0.5540349255574124}","{'target_f1_micro': 0.14245635910224438, 'target_f1_macro': 0.027254518872504793, 'target_f1_weighted': 0.15334779653674754, 'target_mcc': np.float64(0.041467529090780025), 'precision': 0.031225482985827877, 'recall': 0.02886879901475638, 'identification_rate': np.float64(0.15)}"
28,"{'f1_weighted': 0.8431893302559584, 'roc_auc': np.float64(0.5540349255574124), 'mcc': np.float64(0.10639820884976307), 'precision': 0.5523762119113573, 'recall': 0.5540349255574124}","{'target_f1_micro': 0.1433915211970075, 'target_f1_macro': 0.02476851182528845, 'target_f1_weighted': 0.15225372923355993, 'target_mcc': np.float64(0.042526400925030065), 'precision': 0.028218755304266357, 'recall': 0.02748429763989108, 'identification_rate': np.float64(0.15113636363636362)}"
30,"{'f1_weighted': 0.8435426363461577, 'roc_auc': np.float64(0.5518335192025818), 'mcc': np.float64(0.10322085765216105), 'precision': 0.5513882986258677, 'recall': 0.5518335192025818}","{'target_f1_micro': 0.1468204488778055, 'target_f1_macro': 0.02417370338116262, 'target_f1_weighted': 0.15781202579677173, 'target_mcc': np.float64(0.04651614191908675), 'precision': 0.027736940619030637, 'recall': 0.025799585429977463, 'identification_rate': np.float64(0.15570672713529857)}"
40,"{'f1_weighted': 0.8457634621741922, 'roc_auc': np.float64(0.5426170836724191), 'mcc': np.float64(0.09027231764021527), 'precision': 0.5478041352780895, 'recall': 0.5426170836724191}","{'target_f1_micro': 0.14370324189526185, 'target_f1_macro': 0.026612298812804032, 'target_f1_weighted': 0.15474783506464537, 'target_mcc': np.float64(0.04298438793144989), 'precision': 0.028974953296306546, 'recall': 0.028667532894077218, 'identification_rate': np.float64(0.15353007097497198)}"
50,"{'f1_weighted': 0.8484998500905983, 'roc_auc': np.float64(0.5377375972743642), 'mcc': np.float64(0.08496516113092091), 'precision': 0.5478241801771213, 'recall': 0.5377375972743642}","{'target_f1_micro': 0.15211970074812967, 'target_f1_macro': 0.028366593078909763, 'target_f1_weighted': 0.16312150902550362, 'target_mcc': np.float64(0.05295919472564876), 'precision': 0.03005273802525305, 'recall': 0.03238545785370538, 'identification_rate': np.float64(0.16414048059149722)}"
60,"{'f1_weighted': 0.8466178905458196, 'roc_auc': np.float64(0.5241434665005564), 'mcc': np.float64(0.05721959161862432), 'precision': 0.5339023568231873, 'recall': 0.5241434665005564}","{'target_f1_micro': 0.1477556109725686, 'target_f1_macro': 0.024738270204607355, 'target_f1_weighted': 0.15868646072233722, 'target_mcc': np.float64(0.04812354207909743), 'precision': 0.026580877831254728, 'recall': 0.02679690932584718, 'identification_rate': np.float64(0.16176470588235295)}"
70,"{'f1_weighted': 0.8500881113246986, 'roc_auc': np.float64(0.5226726993238378), 'mcc': np.float64(0.058132952891225234), 'precision': 0.5372633201232937, 'recall': 0.5226726993238379}","{'target_f1_micro': 0.14806733167082295, 'target_f1_macro': 0.02531735887232024, 'target_f1_weighted': 0.15912098048122128, 'target_mcc': np.float64(0.047988846224604385), 'precision': 0.028805300163635906, 'recall': 0.026298676263766727, 'identification_rate': np.float64(0.16187704619861767)}"
80,"{'f1_weighted': 0.8505044549437882, 'roc_auc': np.float64(0.512938843993744), 'mcc': np.float64(0.036995215495818454), 'precision': 0.5264445179616468, 'recall': 0.5129388439937441}","{'target_f1_micro': 0.13871571072319203, 'target_f1_macro': 0.02101035961188282, 'target_f1_weighted': 0.1496868048478925, 'target_mcc': np.float64(0.037366061858680244), 'precision': 0.022827931416927107, 'recall': 0.021873634004831943, 'identification_rate': np.float64(0.1526827511703277)}"
90,"{'f1_weighted': 0.8607551847677455, 'roc_auc': np.float64(0.5194677106601875), 'mcc': np.float64(0.07652139347017889), 'precision': 0.5751953293433829, 'recall': 0.5194677106601875}","{'target_f1_micro': 0.13902743142144638, 'target_f1_macro': 0.021764923746621485, 'target_f1_weighted': 0.14866769745185038, 'target_mcc': np.float64(0.03703238972364328), 'precision': 0.02423183410936865, 'recall': 0.02396297354795299, 'identification_rate': np.float64(0.15054519873373198)}"
100,"{'f1_weighted': 0.85909811481016, 'roc_auc': np.float64(0.5036470560655332), 'mcc': np.float64(0.03860437743294422), 'precision': 0.6021575984990619, 'recall': 0.5036470560655332}","{'target_f1_micro': 0.13809226932668328, 'target_f1_macro': 0.023435144028865828, 'target_f1_weighted': 0.14406803414170583, 'target_mcc': np.float64(0.03595887637732053), 'precision': 0.027019784094516268, 'recall': 0.027841046537659658, 'identification_rate': np.float64(0.15214384508990317)}"
